article_slug,total_sessions,total_pageviews,total_engaged_sessions,avg_engagement_sec,li_attributed_sessions,li_attributed_pageviews,collected_at
aima-article-ethics-and-ai-006,23,67,6,30.8,2,6,2026-06-27T06:53:55
aima-article-token-bill-011,18,36,11,17.2,5,10,2026-06-27T06:53:55
aima-article-ai-in-medicine,16,15,2,2.8,0,0,2026-06-27T06:53:55
aima-article-future-of-media-009,16,30,10,33.2,8,12,2026-06-27T06:53:55
aima-article-ethics-theater-014,12,50,12,131.4,9,45,2026-06-27T06:53:55
aima-article-global-south-ai-gap-013,11,50,9,100.1,7,46,2026-06-27T06:53:55
aima-article-anthropomorphization-trap-010,9,15,9,25.8,4,10,2026-06-27T06:53:55
aima-article-machines-that-compose-015,9,45,7,49.7,8,44,2026-06-27T06:53:55
aima-article-digital-nomad-economy-016,7,11,4,19.1,3,4,2026-06-27T06:53:55
aima-article-ai-workforce-005,7,34,7,122.5,2,7,2026-06-27T06:53:55
aima-article-future-of-creative-production-001,7,20,7,43.7,3,3,2026-06-27T06:53:55
aima-article-ai-in-medicine-008,5,14,5,65.2,2,8,2026-06-27T06:53:55
aima-article-algorithm-of-atrocity-012,5,12,4,105.2,3,10,2026-06-27T06:53:55
aima-article-n8n-content-pipeline-003,5,20,3,64.0,3,7,2026-06-27T06:53:55
aima-article-5k-music-video-blueprint-002,6,22,5,62.5,3,12,2026-06-27T06:53:55
aima-article-boycott-or-bigotry-004,6,14,4,61.0,3,4,2026-06-27T06:53:55
aima-article-rogue-ai-agents-007,2,6,2,45.5,2,6,2026-06-27T06:53:55
