article_slug,page_path,sessions,pageviews,engaged_sessions,avg_engagement_seconds,linkedin_sessions,linkedin_pageviews,collected_at
aima-article-ethics-and-ai-006,/aima/articles/aima-article-ethics-and-ai-006.html,19,56,2,29.1,0,0,2026-06-20T19:59:32
aima-article-token-bill-011,/articles/aima-article-token-bill-011.html,18,36,9,16.1,4,6,2026-06-20T19:59:32
aima-article-ai-in-medicine,/articles/aima-article-ai-in-medicine.html,16,15,2,2.8,0,0,2026-06-20T19:59:32
aima-article-future-of-media-009,/articles/aima-article-future-of-media-009.html,16,30,8,33.2,7,7,2026-06-20T19:59:32
aima-article-anthropomorphization-trap-010,/articles/aima-article-anthropomorphization-trap-010.html,9,15,7,25.9,4,5,2026-06-20T19:59:32
aima-article-global-south-ai-gap-013,/articles/aima-article-global-south-ai-gap-013.html,8,31,3,85.8,3,9,2026-06-20T19:59:32
aima-article-ethics-theater-014,/articles/aima-article-ethics-theater-014.html,7,27,0,181.7,2,4,2026-06-20T19:59:32
aima-article-ai-in-medicine-008,/articles/aima-article-ai-in-medicine-008.html,5,13,3,64.8,1,0,2026-06-20T19:59:32
aima-article-algorithm-of-atrocity-012,/articles/aima-article-algorithm-of-atrocity-012.html,5,12,1,100.6,1,0,2026-06-20T19:59:32
aima-article-5k-music-video-blueprint-002,/articles/aima-article-5k-music-video-blueprint-002.html,4,13,2,18.5,3,2,2026-06-20T19:59:32
aima-article-ai-workforce-005,/articles/aima-article-ai-workforce-005.html,4,12,2,40.2,1,0,2026-06-20T19:59:32
aima-article-boycott-or-bigotry-004,/articles/aima-article-boycott-or-bigotry-004.html,4,5,1,7.5,2,1,2026-06-20T19:59:32
aima-article-ethics-and-ai-006,/articles/aima-article-ethics-and-ai-006.html,4,11,2,29.5,1,1,2026-06-20T19:59:32
aima-article-future-of-creative-production-001,/articles/aima-article-future-of-creative-production-001.html,4,4,3,3.2,2,2,2026-06-20T19:59:32
aima-article-future-of-creative-production-001,/aima/articles/aima-article-future-of-creative-production-001.html,3,16,3,43.7,0,0,2026-06-20T19:59:32
aima-article-n8n-content-pipeline-003,/articles/aima-article-n8n-content-pipeline-003.html,3,7,0,14.0,3,2,2026-06-20T19:59:32
aima-article-5k-music-video-blueprint-002,/aima/articles/aima-article-5k-music-video-blueprint-002.html,2,9,2,62.5,0,0,2026-06-20T19:59:32
aima-article-ai-workforce-005,/aima/articles/aima-article-ai-workforce-005.html,2,21,2,122.5,0,0,2026-06-20T19:59:32
aima-article-boycott-or-bigotry-004,/aima/articles/aima-article-boycott-or-bigotry-004.html,2,9,2,61.0,0,0,2026-06-20T19:59:32
aima-article-n8n-content-pipeline-003,/aima/articles/aima-article-n8n-content-pipeline-003.html,2,13,2,64.0,0,0,2026-06-20T19:59:32
aima-article-rogue-ai-agents-007,/articles/aima-article-rogue-ai-agents-007.html,2,6,0,40.5,1,3,2026-06-20T19:59:32
